id;first_name;last_name;email;hire_date;position
1;Sunny;Parisian;Lenora_Will79@hotmail.com;2024-10-21T03:14:00;decongestant antagonize who
2;Alfreda;Walsh;Dandre40@yahoo.com;2024-10-20T22:59:28;really
3;Bonita;Erdman;Rowena_Torp@yahoo.com;2024-10-21T07:16:48;ah repeat
4;Ara;Howe;Bobby34@hotmail.com;2024-10-21T03:16:03;during patiently
5;Carson;Jerde;Gus_Strosin@gmail.com;2024-10-20T20:29:33;object ack
6;Karine;Klein;Alexandria25@yahoo.com;2024-10-21T02:05:59;before so
7;Julian;Kuhic-Wisoky;Addie83@yahoo.com;2024-10-21T10:49:44;independence when as
8;Clovis;Littel;Tito.Fritsch@hotmail.com;2024-10-20T15:43:22;venom cautiously fatal
9;Alanis;Miller;Jameson.Schimmel21@hotmail.com;2024-10-21T05:21:58;worriedly
10;Rey;Herzog;Mozelle75@gmail.com;2024-10-20T20:28:47;quaintly
