id;name;slug;description_heitiga;business_type;email;hotline;tax_code;contacts_jason;extension_jason;is_enabled
2387cc8c-9381-4577-86c5-5ccddb2ecc16;reporter hammock;ah;splurge once instead;OTHER;Annette.Boyer@gmail.com;what phew;closely perspire;vainly loyally near;zowie measly;true
99c64778-4381-4044-9db9-f16f06751951;yet zowie;lest;degrease;CLIENT_INDIVIDUAL;Ella.Beer78@gmail.com;overspend daughter;hence;reassuringly positively beyond;since pfft ugh;false
ff81ae7d-6895-4309-a491-52cf0c39f455;conclude;close strait zowie;reborn;CLIENT_COMPANY;Maryse18@yahoo.com;coolly;swill sniff considering;pendant as;phooey;false
e425c52d-4517-42b8-ab62-eebc25b9aa93;apropos whoa;ouch next through;to innocently yippee;CLIENT_COMPANY;Rosamond.Wiza@gmail.com;gown dependable wherever;ah about premeditation;what savour throughout;overvalue not;false
b13133e4-81fa-4cb8-ae69-2aaf7d2c3b48;stuff sleepily;moor;questioningly for phooey;PARTNER;Missouri_Vandervort61@hotmail.com;forswear eek;of nor;blah normal;because catalyze;false
b0b1fe7c-1c5b-4a91-a33e-d843553903e9;nor plugin save;dish;other;CLIENT_COMPANY;Scottie_Marvin47@gmail.com;shoddy;crumble innocent oof;summary pure deployment;posh squiggly CD;true
220c1e8e-dd1c-4642-98f8-3795fcb74f7d;substitution;sediment never while;sport because;CLIENT_INDIVIDUAL;Sandrine.Harvey@hotmail.com;carefully defensive because;whoa;fortunately weakly;amid fully yuck;false
92aac984-9778-47dc-b8e3-0fcdbfb81cfa;by at;litter resolve etch;accentuate reflecting;CLIENT_COMPANY;Vickie48@hotmail.com;whether;lined snowplow thin;bench restructure;into yum finger;true
364bdcca-7ee1-416b-b6a7-95579befa48b;opposite finally alarmed;pro upward;judicious enthusiastically amongst;CLIENT_INDIVIDUAL;Dayton_Schultz@gmail.com;except while quarrelsome;syringe common if;gah mould;whoever feline abnormally;true
0fdba334-20d2-4122-8222-cdb363b98ca0;frankly;equate;boldly snow gadzooks;PARTNER;Sean70@yahoo.com;decongestant frizzy;metabolite vainly forenenst;near;pish;false
