id;source_title;source_url;collected_date
86e57cd3-c73d-4b78-8676-a45658a60ecc;tributary;congregate;2024-10-21T11:20:54
66211e04-c9f4-4845-9d44-c7ef05a2fb5f;stir-fry luck;notwithstanding platter pace;2024-10-21T06:19:01
67f0662f-92f3-43da-81d8-b29d0158cde0;pro;jovially;2024-10-20T22:05:01
b2948dd4-f172-4ffa-bd12-ffb08b35446c;ick creature ick;afore;2024-10-20T20:36:24
d8bd699d-c15f-4649-9269-02a18f9d7c33;loosely;epic;2024-10-20T19:13:16
92ae40e6-c222-4ce3-b4fa-b87771bad1a1;sell while;pfft gentle;2024-10-21T12:41:13
4623d244-78e2-46f0-aeab-b365503964bf;uh-huh schlep;question than yuck;2024-10-21T02:25:52
87867f82-772c-41f5-870c-32319d4d05d5;bah;entrench;2024-10-21T07:16:48
e585bce3-4316-416d-ab95-c36ef7fd9e50;porter;oh inwardly vice;2024-10-21T02:08:55
d2b81342-8897-4128-9000-d4858e54a496;iridescence besides;of thorough;2024-10-21T05:44:07
