id;name;contact_person;email;phone_number
1;ugh;folklore;Webster_MacGyver@yahoo.com;after
2;through knickers;but knitting;Elbert_Hand21@yahoo.com;degrease
3;authorized;gosh yearly coexist;Rhea_Turner53@hotmail.com;below
4;because shoddy portly;homeschool cautiously striking;August.Kilback23@yahoo.com;arrogantly save glum
5;scoop unlike;exacerbate;Cameron21@gmail.com;handover er
6;lucky instead gifted;subsidy;Khalid7@hotmail.com;handful fooey
7;frail drat polarisation;including gadzooks if;Jewell74@yahoo.com;restructure
8;separately;ha veto;Nella_Hackett@yahoo.com;cope
9;that needily;almost;Adan36@yahoo.com;incidentally irritably
10;necklace crushing;drat colorful junior;Amie88@yahoo.com;blind
