id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-22T16:35:01;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-23T06:41:53;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-23T00:06:25;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-23T09:44:29;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-22T22:34:51;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-23T01:21:26;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-23T14:22:50;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-23T04:34:25;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-23T01:49:32;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-22T22:20:13;mysterious metal whenever
