id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-20T11:11:36;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-21T01:18:28;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-20T18:43:00;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-21T04:21:04;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-20T17:11:26;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-20T19:58:01;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-21T08:59:25;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-20T23:11:00;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-20T20:26:07;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-20T16:56:48;mysterious metal whenever
