id;first_name;last_name;email;hire_date;position
1;Michelle;Buckridge;Ivory58@gmail.com;2024-10-21T13:48:09;white what orientate
2;Ralph;Raynor;Lillian95@yahoo.com;2024-10-21T05:53:54;awareness meh seldom
3;Duncan;O'Connell;Hollie.Krajcik@hotmail.com;2024-10-20T17:28:51;by around
4;Arne;Hane;Richmond_Wilderman81@yahoo.com;2024-10-21T12:25:58;helpfully save fooey
5;Annabelle;Kuphal;Nasir.Huels@yahoo.com;2024-10-21T14:36:52;readily inferior
6;Sigmund;Schinner;Orville.Douglas80@hotmail.com;2024-10-21T11:45:32;and menacing
7;Jaclyn;Medhurst;Godfrey89@gmail.com;2024-10-20T20:53:43;whoa clearly lotion
8;Justus;Mueller;Jadyn46@hotmail.com;2024-10-21T01:48:38;badly scruple skeletal
9;Victoria;Smitham;Nedra.Mayert73@yahoo.com;2024-10-20T18:00:17;excluding scram tiny
10;Clementina;Davis;Marc15@yahoo.com;2024-10-20T22:26:25;before
