id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-20T15:28:02;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-21T05:34:54;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-20T22:59:26;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-21T08:37:30;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-20T21:27:52;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-21T00:14:27;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-21T13:15:51;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-21T03:27:26;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-21T00:42:33;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-20T21:13:14;mysterious metal whenever
