id;first_name;last_name;email;hire_date;position
1;Urban;Block;Erika_Baumbach25@gmail.com;2024-10-20T11:03:33;acceptable
2;Amina;Russel;Thora_Jast26@yahoo.com;2024-10-21T01:10:25;pfft new
3;Gene;Huel;Lizeth_Kunze@hotmail.com;2024-10-20T18:34:57;moisten
4;Genesis;Schultz;Zena63@yahoo.com;2024-10-21T04:13:01;splendid whoever strictly
5;Alia;Berge;Omari_Stroman23@hotmail.com;2024-10-20T17:03:23;edible yowza veto
6;Christelle;Lind;Carli_McCullough@yahoo.com;2024-10-20T19:49:58;woot substitution gah
7;Karson;Harber;Dillan46@yahoo.com;2024-10-21T08:51:22;wide-eyed ah
8;Michaela;Wilderman;Montana.Wisoky@yahoo.com;2024-10-20T23:02:57;outside
9;Thalia;Howe;Armani44@yahoo.com;2024-10-20T20:18:04;inasmuch
10;Aracely;Tremblay;Euna_Blick@yahoo.com;2024-10-20T16:48:45;mysterious metal whenever
